SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_VIDEO_COUNT,COMP_IMG_COUNT,COMP_HAS_RICH_CONTENT,RETAIL_SALES_VALUE,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS_AVAILABLE,AV_OOS_OOS,GROWTH_16_WEEK
1.99,33,244,0,1,0,5947.25,0,0,0,0,0,0.247874813,0,3,2.7,1,0,0.068084815
5,38,230,0,1,0,5348,0,0,0,0,5,0.458519002,0,123,4.6,1,0,0.012905049
1.25,36,182,0,4,0,3178.75,0,0,0,0,3,0.39126597,0,1,5,1,0,0.074006369
1.25,18,441,0,1,0,22519.5,0,1,0,1,0,0.430037832,0,4,3,1,0,0.103628736
1.65,39,458,0,1,0,30532.5,1,0,1,0,2,0.432956057,1,5,3.4,1,0,0.092611517
1.99,33,203,0,1,0,4475.05,0,0,0,0,2,0.424135659,0,1,5,1,0,0.069401113
3.5,49,312,0,1,0,16480.5,1,0,1,0,4,0.401288794,0,10,4.9,1,0,0.005899523
2.99,26,247,0,1,0,8424.33,1,1,1,2,3,0.434232076,0,4,4,1,0,0.044008102
3,24,109,0,1,0,29277,0,1,0,2,0,0.200521991,0,71,4.7,1,0,0.032312631
1.25,42,94,0,1,0,6468.8,0,0,0,0,5,0.384410276,0,68,4.4,1,0,0.069746713
1.8,30,324,0,1,0,5977.19,1,0,1,0,3,0.44128317,0,4,5,1,0,0.006639288
3.5,32,92,0,1,0,11012,1,0,1,0,2,0.323251961,0,3,5,1,0,0.087434983
1.25,37,165,0,4,0,3660.5,0,0,0,0,3,0.390857099,0,1,4,1,0,0.060545854
3.5,49,312,0,1,0,16480.5,1,0,1,0,4,0.401288794,0,10,4.9,1,0,0.005899523
1.25,25,110,0,1,0,10051,0,0,0,0,0,0,0,1,1,1,0,0.064834842
2,57,460,0,4,0,1956.1,1,1,1,0,5,0.36750141,0,46,4.2,1,0,0.064884641
1.65,33,271,0,1,0,5672.35,0,0,0,0,3,0.538638755,0,103,4.8,1,0,0.016774808
2.2,26,109,0,3,0,2860,0,0,0,0,2,0.403529347,0,1,5,1,0,0.047837296
3,24,109,0,1,0,4614.3,0,1,0,2,0,0.337403532,0,71,4.7,1,0,0.089027958
1.65,38,368,0,1,0,12747.95,0,0,0,0,3,0.344170486,0,7,4.8,1,0,0.080062748
1.25,42,94,0,1,0,9347.5,0,0,0,0,5,0.384615758,0,68,4.4,1,0,0.057079867
5,38,190,0,1,0,1682,0,0,0,0,5,0.577328236,1,124,4.6,1,0,0.021490273
1.25,28,101,0,3,0,3141.25,0,0,0,0,4,0.26674868,1,3,3,1,0,0.06771385
1.99,33,244,0,1,0,6725.37,0,0,0,0,0,0.410952362,0,3,2.7,1,0,0.05859375
1.5,39,96,0,1,0,4152.1,1,0,1,0,4,0.5544967,1,7,4.4,1,0,0.058731419
1.5,20,94,0,3,0,7592.4,0,0,0,0,3,0.417084667,0,5,4.2,1,0,0.064932209
1.25,27,203,0,1,0,3159.75,0,0,0,0,2,0.336938405,1,1,1,1,0,0.073528975
2,37,221,0,1,0,470,0,0,0,0,5,0.388020867,0,2,5,1,0,0.003792741
1.99,36,308,0,1,0,16849.36,1,1,1,4,2,0.281734488,1,2,4,1,0,0.070823369
1.99,33,203,0,1,0,4365.13,0,0,0,0,2,0.424078593,0,1,5,1,0,0.066707373
1.35,33,95,0,1,0,3602.7,0,0,0,0,3,0.409494477,1,5,4.6,1,0,0.06400578
1.35,42,94,0,1,0,12484.2,0,0,0,0,5,0.428866999,0,68,4.4,1,0,0.056942547
3.5,26,247,0,1,0,15269.5,0,0,0,0,3,0.517725775,1,4,4,1,0,0.065955722
1.49,51,560,0,1,0,18263.62,1,1,1,0,4,0,0,6,3.6,1,0,0.080962819
1.65,33,271,0,1,0,10371.95,1,1,1,1,3,0.491891714,0,103,4.8,1,0,0.067507274
1.25,24,220,0,1,0,11748.75,0,0,0,0,4,0.38739004,0,6,4.8,1,0,0.042441352
1.35,33,95,0,1,0,3064.2,0,0,0,0,3,0.432740193,1,5,4.6,1,0,0.121146986
1.5,33,384,0,1,0,11075.4,1,1,1,2,3,0.168887365,0,102,4.8,1,0,0.074809576
5,36,111,0,1,0,6754,1,0,0,0,3,0.352905952,1,14,1.7,1,0,0.033674098
0.99,35,371,0,1,0,2219.36,0,0,0,0,0,0,1,6,4.2,1,0,0.064195754
5,38,325,0,4,0,1760,0,0,0,0,5,0.562616638,0,123,4.6,1,0,0.182564995
1.99,33,244,0,1,0,3968.1,0,0,0,0,4,0.499713834,1,3,2.7,1,0,0.097927856
1.99,33,244,0,1,0,7978.91,0,0,0,0,4,0.331138647,0,3,2.7,1,0,0.062863868
2,37,221,0,1,0,214,0,0,0,0,5,0.759598885,0,2,5,1,0,0.039851963
2,48,108,0,5,0,2526,1,0,0,0,4,0.366471287,0,32,4.4,1,0,0.052431322
